DEBUG:root:Scraper has been initialized.
DEBUG:requests.packages.urllib3.connectionpool:Starting new HTTPS connection (1): kissanime.ru
DEBUG:requests.packages.urllib3.connectionpool:https://kissanime.ru:443 "POST /Login HTTP/1.1" 503 None
DEBUG:requests.packages.urllib3.connectionpool:Resetting dropped connection: kissanime.ru
DEBUG:requests.packages.urllib3.connectionpool:https://kissanime.ru:443 "GET /cdn-cgi/l/chk_jschl?pass=1487645938.705-trHrwf4e8H&jschl_answer=87506&jschl_vc=e997e1f0de8e3f9f70a027fa51000773 HTTP/1.1" 302 165
DEBUG:requests.packages.urllib3.connectionpool:https://kissanime.ru:443 "GET /Login HTTP/1.1" 301 None
DEBUG:requests.packages.urllib3.connectionpool:Starting new HTTP connection (1): kissanime.ru
DEBUG:requests.packages.urllib3.connectionpool:http://kissanime.ru:80 "GET /Login HTTP/1.1" 200 None
DEBUG:root:Succcesfully logged in using credentails.
DEBUG:requests.packages.urllib3.connectionpool:http://kissanime.ru:80 "GET /Anime/Sword-Art-Online-Dub HTTP/1.1" 200 None
INFO:root:Found | Sword Art Online (Dub) Episode 025 at /Anime/Sword-Art-Online-Dub/Episode-025?id=115946
INFO:root:Found | Sword Art Online (Dub) Episode 024 at /Anime/Sword-Art-Online-Dub/Episode-024?id=115933
INFO:root:Found | Sword Art Online (Dub) Episode 023 at /Anime/Sword-Art-Online-Dub/Episode-023?id=115945
INFO:root:Found | Sword Art Online (Dub) Episode 022 at /Anime/Sword-Art-Online-Dub/Episode-022?id=115944
INFO:root:Found | Sword Art Online (Dub) Episode 021 at /Anime/Sword-Art-Online-Dub/Episode-021?id=115943
INFO:root:Found | Sword Art Online (Dub) Episode 020 at /Anime/Sword-Art-Online-Dub/Episode-020?id=115942
INFO:root:Found | Sword Art Online (Dub) Episode 019 at /Anime/Sword-Art-Online-Dub/Episode-019?id=115941
INFO:root:Found | Sword Art Online (Dub) Episode 018 at /Anime/Sword-Art-Online-Dub/Episode-018?id=115940
INFO:root:Found | Sword Art Online (Dub) Episode 017 at /Anime/Sword-Art-Online-Dub/Episode-017?id=115939
INFO:root:Found | Sword Art Online (Dub) Episode 016 at /Anime/Sword-Art-Online-Dub/Episode-016?id=115938
INFO:root:Found | Sword Art Online (Dub) Episode 015 at /Anime/Sword-Art-Online-Dub/Episode-015?id=115937
INFO:root:Found | Sword Art Online (Dub) Episode 014 at /Anime/Sword-Art-Online-Dub/Episode-014?id=115936
INFO:root:Found | Sword Art Online (Dub) Episode 013 at /Anime/Sword-Art-Online-Dub/Episode-013?id=115935
INFO:root:Found | Sword Art Online (Dub) Episode 012 at /Anime/Sword-Art-Online-Dub/Episode-012?id=115932
INFO:root:Found | Sword Art Online (Dub) Episode 011 at /Anime/Sword-Art-Online-Dub/Episode-011?id=115931
INFO:root:Found | Sword Art Online (Dub) Episode 010 at /Anime/Sword-Art-Online-Dub/Episode-010?id=115930
INFO:root:Found | Sword Art Online (Dub) Episode 009 at /Anime/Sword-Art-Online-Dub/Episode-009?id=115929
INFO:root:Found | Sword Art Online (Dub) Episode 008 at /Anime/Sword-Art-Online-Dub/Episode-008?id=115928
INFO:root:Found | Sword Art Online (Dub) Episode 007 at /Anime/Sword-Art-Online-Dub/Episode-007?id=115927
INFO:root:Found | Sword Art Online (Dub) Episode 006 at /Anime/Sword-Art-Online-Dub/Episode-006?id=115926
INFO:root:Found | Sword Art Online (Dub) Episode 005 at /Anime/Sword-Art-Online-Dub/Episode-005?id=115925
INFO:root:Found | Sword Art Online (Dub) Episode 004 at /Anime/Sword-Art-Online-Dub/Episode-004?id=115924
INFO:root:Found | Sword Art Online (Dub) Episode 003 at /Anime/Sword-Art-Online-Dub/Episode-003?id=115934
INFO:root:Found | Sword Art Online (Dub) Episode 002 at /Anime/Sword-Art-Online-Dub/Episode-002?id=115923
INFO:root:Found | Sword Art Online (Dub) Episode 001 at /Anime/Sword-Art-Online-Dub/Episode-001?id=115922
DEBUG:requests.packages.urllib3.connectionpool:https://kissanime.ru:443 "GET /Anime/Sword-Art-Online-Dub/Episode-025?id=115946 HTTP/1.1" 301 None
DEBUG:requests.packages.urllib3.connectionpool:http://kissanime.ru:80 "GET /Anime/Sword-Art-Online-Dub/Episode-025?id=115946 HTTP/1.1" 200 None
